"Awal pelaporan","Akhir pelaporan","Nama kampanye","Penayangan kampanye","Pengaturan atribusi",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Frekuensi,"Klik Tautan Unik",Berakhir,"Hasil (awal)","Indikator hasil (awal)"
2026-08-19,2026-08-19,"shopee aff klik",inactive,"Klik 7 hari atau tayangan 1 hari",,,,25400,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff klik koin 2",inactive,"Klik 7 hari atau tayangan 1 hari",,,,"Menggunakan anggaran set iklan",0,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff ngepe",inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff wanita",inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff ngepe - Salin",inactive,"Klik 7 hari atau tayangan 1 hari",,,,30200,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff manurung",inactive,"Klik 7 hari atau tayangan 1 hari",,,,36000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff koper",inactive,"Klik 7 hari atau tayangan 1 hari",,,,36000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff motor",inactive,"Klik 7 hari atau tayangan 1 hari",,,,36000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,baterai1,inactive,-,,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,lemari,inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,dress1,inactive,-,,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,rubbykriwil,active,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff klik koin 5 - fiks",inactive,"Klik 7 hari atau tayangan 1 hari",,,,28400,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff klik koin 6 - fiks",inactive,"Klik 7 hari atau tayangan 1 hari",,,,29000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee aff klik koin 4 - Salin",inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"shopee 2 aff proyek - Salin",inactive,"Klik 7 hari atau tayangan 1 hari",,,,36000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"Kampanye Traffic Baru",inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,colong2,inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,sofapria,inactive,"Klik 7 hari atau tayangan 1 hari",,,,20000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"manurung - Copy",inactive,"Klik 7 hari atau tayangan 1 hari",,,,56000,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"sepeda wanita master",inactive,-,,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"dul master",inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"kades master",inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
2026-08-19,2026-08-19,"newmanurung master",inactive,"Klik 7 hari atau tayangan 1 hari",,,,22600,Harian,0,0,0,0,,Berlangsung,,
